SAMPLE 1 | Sun Sep  6 23:58:54 EDT 2026 | load: { 3.31 3.10 7.10 } | vitest: 0
SAMPLE 2 | Sun Sep  6 23:59:54 EDT 2026 | load: { 2.94 2.99 6.79 } | vitest: 0
SAMPLE 3 | Mon Sep  7 00:00:54 EDT 2026 | load: { 4.44 3.44 6.70 } | vitest: 0
SAMPLE 4 | Mon Sep  7 00:01:01 EDT 2026 | load: { 4.64 3.50 6.70 } | vitest: 0
SAMPLE 5 | Mon Sep  7 00:02:01 EDT 2026 | load: { 4.27 3.59 6.51 } | vitest: 0
SAMPLE 6 | Mon Sep  7 00:03:01 EDT 2026 | load: { 3.77 3.58 6.31 } | vitest: 0
SAMPLE 7 | Mon Sep  7 00:03:07 EDT 2026 | load: { 3.42 3.51 6.25 } | vitest: 0
SAMPLE 8 | Mon Sep  7 00:04:07 EDT 2026 | load: { 4.01 3.65 6.11 } | vitest: 0
SAMPLE 9 | Mon Sep  7 00:05:07 EDT 2026 | load: { 3.63 3.63 5.94 } | vitest: 0
SAMPLE 10 | Mon Sep  7 00:05:17 EDT 2026 | load: { 3.46 3.59 5.90 } | vitest: 0
SAMPLE 11 | Mon Sep  7 00:06:18 EDT 2026 | load: { 2.83 3.40 5.67 } | vitest: 0
SAMPLE 12 | Mon Sep  7 00:07:18 EDT 2026 | load: { 3.09 3.38 5.51 } | vitest: 0
